placa,chassi,associado,cpf,dt_nascimento,marca,modelo,ano_de_fabricacao,valor_fipe,linha,dt_contrato,situacao,telefone,email,estado,cidade,ingested_at
LGX-1857,P86SZ9CXXYTP49X5G,MARIA  LIMA  M~ARTINS,153.981.513-65,04/02/1995,HONDA,BIZ 110i,2023,"R$ 15.022,00",Motos,08/01/2026,ATIVO,82993156195,lucas.araújo.oliveira@ficticio.com.br,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
VWM-5718,WSB5XDJ6FOTUXA35L,-+MARIA BARBOSA ARAÚJO,911.366.228-19,26/02/1976,OUTROS,CB 600F HORNET,2010,"R$ 33.982,00",PARTICULAR,1/8/2022,INATIVO,TEL: (85) 99672-4894,mateus.martins.almeida@gmail.com,RS,Cianorte,2026-02-05 01:54:33.557723 UTC
IQI-0786,EPYBBBHUB8S0VNV4P,rodR+IGO cOSTa silva,500.564.343-67,08/03/2001,OUTROS,L 1513,2011,"R$ 514.433,00",MAQUINAS,8/4/2024,INATIVO,(45) 90461-8,gabriel.martins.ribeiro@empresa.com,BA,Porto Alegre,2026-02-05 01:54:33.557723 UTC
GCG-3023,BMSHRDATJ6HRBUF8V,GUSTAVO COSTA CARDOSO,755.169.199-87,05/11/1985,OUTROS,L 1513,2003,"R$ 369.071,00",MAQUINAS,8/4/2024,INATIVO,TEL: (77) 98024-7571,gustavo.oliveira.almeida@gmail.com,PR,Mogi Guaçu,2026-02-05 01:54:33.557723 UTC
VLE-9626,YOI5WOVAPD3XI6L97,LUCAS LIMA SILVA,401.559.936-57,23/02/2001,OUTROS,L 1513,2011,"R$ 514.433,00",MAQUINAS,8/4/2024,INATIVO,(49) 93523-1547,beatriz.santos.pereira@hotmail.com,SP,Apucarana,2026-02-05 01:54:33.557723 UTC
KBZ-4647,46RAWHA6VR9TTU928,RODRIGO ROCHA RODRIGUES,197.267.865-30,02/06/1975,OUTROS,SR/GUERRA AG GR,2024,"R$ 289.000,00",GUINDASTE HID VEIC MD 45007,28/2/2024,INATIVO,(18) 98191-7197,lucas.oliveira.alves@outlook.com,PR,Irati,2026-02-05 01:54:33.557723 UTC
NOG-2997,LNQDJ43BWTNUYAZAA,JULIA   ARAÚJO   ALMEIDA,125.266.100-48,09/10/1989,OUTROS,13-150 2p (diesel),2000,"R$ 55.467,00",CAMINHãO,20/10/2024,INATIVO,(60) 95533-1,lucas.rodrigues.cardoso@hotmail.com,PR,Clevelândia,2026-02-05 01:54:33.557723 UTC
JIS-3148,DQFFOL6BR7ULEWL76,gabriel gomes martins,574.607.207-71,22/08/1979,OUTROS,1418 3-Eixos 2p (diesel),1999,"R$ 131.544,00",CAMINHãO,4/3/2024,INATIVO,TEL: (53) 94545-2610,larissa.ferreira.alves@empresa.com,RS,Cascavel,2026-02-05 01:54:33.557723 UTC
NSH-4286,3LEKTPK3BAKCCWTO4,RAFAEL   GOMES   FE~RREIRA`,474.858.778-87,11/08/1975,OUTROS,16-300 T 3-Eixos 2p (diesel),1999,"R$ 76.978,00",CAMINHãO,20/7/2025,INATIVO,TEL: (99) 92756-2971,maria.souza.rocha@empresa.com,RS,São Lourenço do Oeste,2026-02-05 01:54:33.557723 UTC
ZQO-5451,4NL1ZMFR0IN94MXWH,$pedro araújo rocha,620.119.386-79,24/09/1971,OUTROS,17-230 Worker 2p (diesel)(E5),2015,"R$ 252.704,00",CAMINHãO,1/9/2024,SUSPENSO TEMPORARIAMENTE,38972015495,gabriel.martins.ribeiro@outlook.com,RS,Cascavel,2026-02-05 01:54:33.557723 UTC
QYH-9101,BERCRC6908Z3BCYOG,MATEUS RIBEIRO BARBOSA,929.470.751-75,17/01/1984,OUTROS,17-250 E Constellation 2p (diesel),2011,"R$ 348.785,00",CAMINHãO,30/4/2024,INATIVO,(72) 96235-5865,ricardo.rocha.souza@ficticio.com.br,SC,Araruna,2026-02-05 01:54:33.557723 UTC
CQH-7617,30EXG8TYD0F24BPXL,PEDRO SOUZA ALMEIDA,931.252.444-99,20/09/1987,OUTROS,17-260 E Constel. 4x2 2p (diesel) (E5),2021,"R$ 427.197,00",CAMINHãO,21/2/2025,ATIVO,(98) 94761-8207,ricardo.martins.cardoso@empresa.com,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
IAW-8853,ZN67F02YB5I2B5TLP,FERNANDA MARTINS MARTINS,970.104.455-30,01/10/1979,OUTROS,18-310 3-Eixos 2p (diesel),2005,"R$ 125.539,00",CAMINHãO,10/7/2024,INATIVO,61959525660,,PR,Ibaiti,2026-02-05 01:54:33.557723 UTC
HUP-7905,UTNBF49BABRCR9XMJ,$BEATRIZ COSTA LIMA,934.807.925-72,09/01/1983,OUTROS,19-320 E Constellation Titan Tractor 2p,2006,"R$ 117.932,00",CAMINHãO,12/6/2023,INATIVO,(80) 91077-2,,PR,Campo Mourão,2026-02-05 01:54:33.557723 UTC
ETD-1835,8HJEDBESOCB7U7FPM,RAFAEL CARDOSO RIBEIRO,174.755.974-56,17/10/1971,OUTROS,1938-S 2p (diesel),2000,"R$ 105.374,00",CAMINHãO,23/5/2025,ATIVO,(42) 99569-9799,joão.costa.lima@gmail.com,PR,Dom Pedrito,2026-02-05 01:54:33.557723 UTC
TRV-7751,6R9D4QM4U3W0FUZ78,rodrigo lima carvalho,102.762.847-72,06/11/1969,OUTROS,24-250 E Constellation 3-Eixos 2p (diese,2011,"R$ 302.798,00",CAMINHãO,1/4/2024,INATIVO,,pedro.ferreira.araújo@empresa.com,SP,Candiota,2026-02-05 01:54:33.557723 UTC
TFQ-1768,YEVEJ1LWGVH97NYAU,AMANDA @PEREIRA FERREIRA_,835.623.487-42,15/03/1979,OUTROS,24-250 E Constellation 3-Eixos 2p (diese,2010,"R$ 337.246,00",CAMINHãO,1/9/2024,SUSPENSO TEMPORARIAMENTE,TEL: (58) 97227-2400,,PR,Ibaiti,2026-02-05 01:54:33.557723 UTC
GEL-8103,NFGOVJ6D9FXEG0TPZ,JOÃO GOMES ALMEIDA,815.572.782-35,04/08/1966,OUTROS,24-260 E Constel. 6x2 2p (diesel)(E5),2022,"R$ 451.795,00",CAMINHãO,29/10/2024,INATIVO,(49) 92400-3945,tiago.gomes.cardoso@empresa.com,PR,Ribeirão Pires,2026-02-05 01:54:33.557723 UTC
MYU-0320,UMXYCKATBCS0RW3QQ,JOÃO PEREIRA SANTOS,731.668.266-36,02/05/1982,OUTROS,24-280 E Constel. 6x2 2p (diesel)(E5),2013,"R$ 358.356,00",CAMINHãO,1/9/2024,SUSPENSO TEMPORARIAMENTE,(50) 96161-3062,larissa.melo.carvalho@outlook.com,PR,Imbaú,2026-02-05 01:54:33.557723 UTC
TNJ-2515,E4U1OH5H3OI9DOF3M,maria souza ribeiro,111.263.944-84,24/11/1967,OUTROS,24-280 E Constel. 6x2 2p (diesel)(E5),2013,"R$ 364.975,00",CAMINHãO,1/9/2024,SUSPENSO TEMPORARIAMENTE,71959435856,camila.cardoso.carvalho@empresa.com,SC,Londrina,2026-02-05 01:54:33.557723 UTC
ZIT-7243,QNJ4KGRSXXF3Q7FSN,JOÃO ROCHA OLIVEIRA,624.536.464-42,09/06/1991,OUTROS,24-280 E Constel. 6x2 2p (diesel)(E5),2013,"R$ 240.116,00",CAMINHãO,24/1/2024,INATIVO,(25) 95478-1039,maria.santos.cardoso@hotmail.com,PR,Itajaí,2026-02-05 01:54:33.557723 UTC
FEF-1961,MEQXV65SCUBUY0RTJ,#MATEUS FERREIRA RODRIGUES,987.478.788-59,08/10/1991,OUTROS,24-280 E Constel. 6x2 2p (diesel)(E5),2013,"R$ 231.455,00",CAMINHãO,17/6/2025,ATIVO,(73) 90659-9,larissa.gomes.araújo@gmail.com,RS,Cianorte,2026-02-05 01:54:33.557723 UTC
KMT-3393,PLDHO2M5BHRQTFB85,ANA CARVALHO SOUZA,545.499.661-56,17/09/1991,OUTROS,24-280 E Constel. 6x2 2p (diesel)(E5),2014,"R$ 277.451,00",CAMINHãO,16/10/2024,INATIVO,(18) 93921-2,julia.oliveira.martins@gmail.com,PR,General Carneiro,2026-02-05 01:54:33.557723 UTC
KPV-2709,BS2UG9F16TZYQ1JUW,CAMILA CARVALHO OLIVEIRA`,785.500.288-48,04/11/1973,OUTROS,24-280 E Constel. 6x2 2p (diesel)(E5),2012,"R$ 226.502,00",CAMINHãO,10/12/2024,INATIVO,70921832546,bruna.barbosa.araújo@ficticio.com.br,PR,Londrina,2026-02-05 01:54:33.557723 UTC
PEZ-1523,E9RGKNQ0QYW73FUV4,@MARIA  SANTOS  LIMA,227.731.675-30,03/10/1983,OUTROS,24-280 E Constel. 6x2 2p (diesel)(E5),2012,"R$ 222.004,00",CAMINHãO,20/7/2025,INATIVO,TEL: (70) 95361-1539,pedro.alves.ribeiro@outlook.com,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
MRA-0762,L40CEM5SL5HIAO16W,RoDrigo almeiDa FErrEIrA~,685.593.867-60,02/07/1991,OUTROS,25-370 E Constel. 6x2 Tractor 2p (dies.),2010,"R$ 219.151,00",CAMINHãO,15/5/2024,INATIVO,TEL: (36) 95960-1777,mateus.lima.oliveira@outlook.com,PR,Cascavel,2026-02-05 01:54:33.557723 UTC
TXU-0035,YNUT6YYVW4QGEK1OC,AMANDA SOUZA PEREIRA,417.509.567-13,16/08/1983,OUTROS,25-370 E Constel. 6x2 Tractor 2p (dies.),2007,"R$ 191.387,00",CAMINHãO,12/6/2023,INATIVO,(30) 95564-6,,PR,Assis Chateaubriand,2026-02-05 01:54:33.557723 UTC
BVF-8229,AIXNYBO9LXEWATCI3,TIAGO OLIVEIRA SILVA,503.594.398-32,03/06/1987,OUTROS,25-370 E Constel. 6x2 Tractor 2p (dies.),2014,"R$ 220.754,00",CAMINHãO,13/7/2023,INATIVO,(74) 91389-2405,fernanda.ribeiro.barbosa@gmail.com,PR,Cianorte,2026-02-05 01:54:33.557723 UTC
OOW-5474,XUTBO0MUMQ1DFW50J,RODRIGO GOMES MARTINS,471.396.570-77,05/04/1968,OUTROS,25-370 E Constel. 6x2 Tractor 2p (dies.),2011,"R$ 217.567,00",CAMINHãO,7/5/2025,ATIVO,(56) 97562-4624,ana.souza.lima@ficticio.com.br,PR,Telêmaco Borba,2026-02-05 01:54:33.557723 UTC
YWV-8864,X2I0EYLBT3Y5W38IJ,juLiA fErREira ARAúJo,729.561.445-26,18/02/1991,OUTROS,25-460 Constel. 6x2 Tractor 2p (die)(E5),2022,"R$ 600.939,00",CAMINHãO,4/11/2023,INATIVO,,,PR,Maringá,2026-02-05 01:54:33.557723 UTC
