status,dt_contrato,nome_associado,placa,modelo_veiculo,fipe,linha,cidade,uf,telefone,anotacoes,dt_envio,dt_entrega,status_envio,termo_assinado,status_instalacao,auto_eletrica_compativel,valor_instalacao,imei_aparelho,empresa_rastreamento,login,senha,ingested_at,dt_instalacao
ATIVO,24/10/2025,FERNANDA   ROCHA   ´ALMEIDA,CQJ-1409,P-340 B 6x4 2p (diesel),"R$ 204.625,00",Pesados,Campo Magro,PR,,11/11/25 - aderiu o rastreador,,,,SIM,INSTALADO,TECH SILVA,"R$ 90,00",308224807019767.0,Azimute,ana.costa.carvalho@empresa.com,37819719.0,2026-02-05 01:42:11.737363 UTC,
ATIVO,24/10/2025,FERNA+NDA SILVA ALMEIDA,DNZ-7640,P-420 B 8x4 2p (diesel),"R$ 190.965,00",Pesados,Campo Magro,PR,94952647207,11/11/25 - aderiu o rastreador,,,,SIM,INSTALADO,TECH SILVA,"R$ 90,00",503025612012166.0,Azimute,maria.martins.ferreira@gmail.com,90717245.0,2026-02-05 01:42:11.737363 UTC,
ATIVO,21/11/2025,MARIA  MARTINS  SANTOS,LFQ-6112,INTERNATIONAL 9800i 6x4 2p (diesel)(E5),"R$ 153.030,00",Pesados,Osório,RS,TEL: (17) 96597-8819,,,,,,JÁ POSSUI,OFICINA ROTA 66,--,,OnixSat,,,2026-02-05 01:42:11.737363 UTC,
ATIVO,15/01/2026,PEDRO   PEREIRA   LIMA,NAL-1765,TECTOR 240E25 6x2 2p (diesel),"R$ 126.122,00",Pesados,Rolândia,PR,(68) 91347-1,,,,,,JÁ POSSUI,ELETRO RÁPIDO,"R$ 80,00",,GoXtech,gustavo.gomes.ribeiro65@outlook.com,58810480.0,2026-02-05 01:42:11.737363 UTC,
ATIVO,11/09/2025,rafael b@arbosa araújo,IYI-7085,TECTOR 240E25 6x2 2p (diesel),"R$ 126.587,00",CAMINHãO,Rio Negro,PR,(36) 95711-3,,,,,,JÁ POSSUI,AUTO CENTER CENTRAL,--,955145382161296.0,Sigasul,maria.almeida.oliveira@empresa.com,67999456.0,2026-02-05 01:42:11.737363 UTC,
ATIVO,10/09/2025,!TIaGO   OLiVeiRA   ALMEIDa,TDB-6958,TECTOR 240E25 6x2 2p (diesel),"R$ 126.587,00",CAMINHãO,Rio Negro,PR,(18) 98563-7,,,,,,JÁ POSSUI,MECÂNICA NORTE,--,957462258632481.0,Sigasul,rafael.araújo.lima@hotmail.com,98423846.0,2026-02-05 01:42:11.737363 UTC,
ATIVO,10/09/2025,JULIA ARAÚJO PEREIRA,EKL-4435,L-1314 3-Eixos 2p (diesel),"R$ 60.017,00",CAMINHãO,Rio Negro,PR,(91) 97002-4728,,,,,,JÁ POSSUI,ELETRO DO ALEMÃO,--,907121294994042.0,Sigasul,gabriel.oliveira.melo@empresa.com,20234819.0,2026-02-05 01:42:11.737363 UTC,
ATIVO,19/08/2025,MATEUS  RIBEIRO  FERREIRA,JNV-6204,FH 440 4x2 2p (diesel),"R$ 226.770,00",CAMINHãO,Tomazina,PR,(27) 91389-3,,,,,,JÁ POSSUI,ELETRO DO ALEMÃO,--,,Coruja Rastreadores,,,2026-02-05 01:42:11.737363 UTC,
ATIVO,17/06/2025,#MATEUS FERREIRA RODRIGUES,FEF-1961,24-280 E Constel. 6x2 2p (diesel)(E5),"R$ 231.455,00",CAMINHãO,Rolândia,PR,(73) 90659-9,,,,,,JÁ POSSUI,ELETRO RÁPIDO,"R$ 80,00",,GoXtech,larissa.gomes.araújo@gmail.com,91755020.0,2026-02-05 01:42:11.737363 UTC,
INADIMPLENTE,11/09/2025,LARISSA SANTOS COSTA,NYW-1583,Creta Attitude 1.6 16V Flex Aut.,"R$ 82.169,00",Leves,Rolândia,PR,,Instalar dia 08/10,,,,NÃO,PENDENTE,ELETRO RÁPIDO,"R$ 80,00",,,,,2026-02-05 01:42:11.737363 UTC,
INATIVO,16/05/2025,PEDRO   PEREIRA   ALMEIDA,VJA-7585,ONIX HATCH LTZ 1.0 12V TB Flex 5p Aut.,"R$ 72.137,00",Leves,Sarandi,PR,(39) 99501-6,"APARELHO REMOVIDO
O TÉCNICO QUE INSTALOU DEVOLVERÁ O APARELHO",,,DEVOLVIDO,,REMOVIDO,AUTO ELÉTRICA RÁPIDO,"R$ 140,00",286033910811833.0,Azimute,fernanda.silva.santos@outlook.com,61233586.0,2026-02-05 01:42:11.737363 UTC,
INATIVO,25/04/2025,bruna martins silva,MFC-8325,Hilux CD SR 4x2 2.7 16V/2.7 Flex Mec.,"R$ 154.152,00","Vans, Pick-ups, Furgões, SUV's, Utilitários Caminhonetes e Caminhões até 4T",Três Barras,PR,,APARELHO REMOVIDO,,,DEVOLVIDO,SIM,REMOVIDO,AUTO ELÉTRICA RÁPIDO,--,72108056235979.0,Azimute,rodrigo.melo.almeida36@ficticio.com.br,93594610.0,2026-02-05 01:42:11.737363 UTC,
ATIVO,12/08/2025,PEDRO RIBEIRO ALVES,WLG-7040,EUROCARGO CAVALLINO 450-E32 T 2p (dies.),"R$ 97.479,00",Pesados,Irani,SC,(55) 92341-9456,,16/08/2025,24/08/2025,ENTREGUE,SIM,INSTALADO,ELETRO TOTAL,"R$ 90,00",118135374211620.0,Azimute,rodrigo.lima.barbosa@outlook.com,86642513.0,2026-02-05 01:42:11.737363 UTC,25/08/2025
ATIVO,10/08/2025,LETÍCIA ALVES PEREIRA,YDK-1564,G-470 A 6x4 2p (diesel),"R$ 248.700,00",Pesados,Irani,SC,(42) 94422-4839,,13/08/2025,23/08/2025,ENTREGUE,SIM,INSTALADO,ELETRO TOTAL,"R$ 90,00",996763027736737.0,Azimute,ana.melo.barbosa@empresa.com,28742005.0,2026-02-05 01:42:11.737363 UTC,27/08/2025
INATIVO,06/01/2025,RODRIGO CARVALHO CARDOSO,CXF-3260,P-310 B 8x2 2p (diesel),"R$ 316.604,00",CAMINHãO,Irani,SC,TEL: (74) 97715-2959,,08/01/2025,18/01/2025,ENTREGUE,SIM,INSTALADO,ELETRO TOTAL,"R$ 90,00",894488318736659.0,Azimute,julia.souza.pereira@hotmail.com,50143432.0,2026-02-05 01:42:11.737363 UTC,23/01/2025
ATIVO,30/07/2025,MARIA COSTA BARBOSA,RTP-1979,Ducato MaxiCargo 2.3 16V Diesel,"R$ 182.775,00","Vans, Pick-ups, Furgões, SUV's, Utilitários Caminhonetes e Caminhões até 4T",Paiçandu,PR,(70) 96094-9,,03/08/2025,12/08/2025,ENTREGUE,SIM,INSTALADO,MECÂNICA SILVA,"R$ 90,00",20634100710333.0,Azimute,julia.martins.cardoso66@outlook.com,29124772.0,2026-02-05 01:42:11.737363 UTC,16/08/2025
ATIVO,25/07/2025,ANA CARD_OSO COSTA-,KOA-2144,STRALIS NR 570-S41T 3-Eixos 2p (diesel),"R$ 164.276,00",Pesados,Fraiburgo,SC,,,28/07/2025,05/08/2025,ENTREGUE,SIM,INSTALADO,AUTO ELÉTRICA NORTE,"R$ 160,00",745096154139957.0,Azimute,lucas.santos.lima98@hotmail.com,82498625.0,2026-02-05 01:42:11.737363 UTC,07/08/2025
ATIVO,12/02/2025,MARIA  PEREIRA  LIMA,HDD-3110,Atego 2425 3-Eixos 2p (diesel),"R$ 220.525,00",CAMINHãO,Fraiburgo,SC,20996791321,,14/02/2025,23/02/2025,ENTREGUE,SIM,INSTALADO,AUTO ELÉTRICA NORTE,"R$ 130,00",870632438794791.0,Azimute,tiago.ferreira.rodrigues@ficticio.com.br,4117163.0,2026-02-05 01:42:11.737363 UTC,28/02/2025
SUSPENSO TEMPORARIAMENTE,28/05/2025,_BRUNA FERREIRA CARDOSO,PTT-3992,Pajero DAKAR HPE 3.2 4x4 T.I Dies 5p Aut,"R$ 103.113,00","Vans, Pick-ups, Furgões, SUV's, Utilitários Caminhonetes e Caminhões até 4T",Guarulhos,SP,,SUSPENSO TEMPORARIAMENTE: REMOVER APARELHO,31/05/2025,10/06/2025,ENTREGUE,SIM,INSTALADO,SOM E ACESSÓRIOS POTENCIA,--,,Azimute,joo.carvalho.cardoso65@ficticio.com.br,31820251.0,2026-02-05 01:42:11.737363 UTC,10/06/2025
ATIVO,04/11/2025,JOÃO LIMA ALVES,GZI-5233,Ranger XLT 3.2 20V 4x4 CD Diesel Aut.,"R$ 98.292,00","Vans, Pick-ups, Furgões, SUV's, Utilitários Caminhonetes e Caminhões até 4T",Figueira,PR,(55) 98401-8278,,08/11/2025,17/11/2025,ENTREGUE,SIM,INSTALADO,ELETRO SANTOS,"R$ 80,00",375190672777985.0,Azimute,letícia.rocha.cardoso@gmail.com,80034964.0,2026-02-05 01:42:11.737363 UTC,17/11/2025
ATIVO,28/05/2025,GUSTAVO   RIBEIRO   OLIVEIRA,WWM-1314,Gol Special 1.0 Total Flex 8V 5p,"R$ 40.577,00",Leves,Toledo,PR,,,31/05/2025,07/06/2025,ENTREGUE,SIM,INSTALADO,AUTO ELÉTRICA RÁPIDO,--,473177379191868.0,Azimute,beatriz.gomes.silva68@hotmail.com,50955004.0,2026-02-05 01:42:11.737363 UTC,11/06/2025
ATIVO,28/11/2025,GABRIEL   COSTA   SANTOS,UUZ-2038,EDGE SEL 3.5 V6 24V FWD Aut.,"R$ 61.302,00",Leves,Carlos Barbosa,SC,,,01/12/2025,08/12/2025,ENTREGUE,SIM,INSTALADO,TECH SUL,"R$ 100,00",552706195615913.0,Azimute,pedro.souza.martins79@gmail.com,13548184.0,2026-02-05 01:42:11.737363 UTC,12/12/2025
ATIVO,22/09/2025,GUSTAVO MELO SILVA,OHR-3288,Frontier SE/SE Strik CD 4x4 2.5 TB Dies.,"R$ 72.078,00","Vans, Pick-ups, Furgões, SUV's, Utilitários Caminhonetes e Caminhões até 4T",Carlópolis,PR,15922539552,,24/09/2025,03/10/2025,ENTREGUE,SIM,INSTALADO,AUTO ELÉTRICA SANTOS,--,679907590414576.0,Azimute,maria.martins.souza42@ficticio.com.br,95724706.0,2026-02-05 01:42:11.737363 UTC,07/10/2025
ATIVO,18/08/2025,PEDRO OLIVEIRA SANTOS,VWZ-4053,R-460 A 6x2 2p (diesel)(E6),"R$ 881.461,00",Pesados,Vilhena,RO,(99) 97090-3,,19/08/2025,26/08/2025,ENTREGUE,SIM,INSTALADO,TECH SUL,"R$ 0,00",766119498866768.0,Azimute,ana.carvalho.carvalho@ficticio.com.br,91214130.0,2026-02-05 01:42:11.737363 UTC,27/08/2025
ATIVO,23/05/2025,JOÃO   MARTINS   PEREIRA´,SPR-2149,R-560 A 6x4 2p (diesel)(E6),"R$ 1.042.145,00",CAMINHãO,Vilhena,RO,78976299676,,25/05/2025,01/06/2025,ENTREGUE,SIM,INSTALADO,TECH SUL,"R$ 100,00",508984182925565.0,Azimute,lucas.costa.souza@gmail.com,78650422.0,2026-02-05 01:42:11.737363 UTC,05/06/2025
ATIVO,18/08/2025,camila gomes ferreira´,SEV-7240,R-460 A 6x2 2p (diesel)(E6),"R$ 881.461,00",Pesados,Vilhena,RO,93974932497,,21/08/2025,28/08/2025,ENTREGUE,SIM,INSTALADO,TECH SUL,"R$ 0,00",794297406440265.0,Azimute,pedro.santos.pereira@outlook.com,32500235.0,2026-02-05 01:42:11.737363 UTC,31/08/2025
ATIVO,25/11/2025,peDRo RibEiro saNtos`,PKY-2731,VM 260 6x2 2p (diesel),"R$ 173.979,00",Pesados,Xaxim,SC,,,29/11/2025,06/12/2025,ENTREGUE,SIM,INSTALADO,CENTRO AUTOMOTIVO SUL,"R$ 70,00",90921658731775.0,Azimute,joo.lima.costa46@gmail.com,92174616.0,2026-02-05 01:42:11.737363 UTC,06/12/2025
ATIVO,30/07/2025,MARIA  CARDOSO  ´PEREIRA,EYW-9268,CARGO 2422/ 2422 E 3-Eixos 2p (diesel),"R$ 231.254,00",Pesados,Paiçandu,PR,TEL: (98) 93353-5306,,02/08/2025,09/08/2025,ENTREGUE,NÃO,PENDENTE,MECÂNICA SILVA,"R$ 90,00",,,,,2026-02-05 01:42:11.737363 UTC,
ATIVO,16/07/2025,RODRIGO MELO MELO,FWU-0334,Jumpy 1.6 Furgão Pack Turbo Diesel,"R$ 128.623,00","Vans, Pick-ups, Furgões, SUV's, Utilitários Caminhonetes e Caminhões até 4T",Sarandi,PR,(30) 95960-5596,,17/07/2025,25/07/2025,ENTREGUE,NÃO,PENDENTE,AUTO ELÉTRICA RÁPIDO,"R$ 140,00",,,,,2026-02-05 01:42:11.737363 UTC,
ATIVO,05/03/2025,Lucas Pinto Freitas,QWP-2202,CIVIC,"R$ 453.000,00",Leves,Ponta Grossa,PR,(74) 98410-5926,,15/03/2025,18/03/2025,ENTREGUE,NÃO,INSTALADO,MECÂNICA DO BAIXINHO,"R$ 80,00",91228177.0,Azimute,lucas69,391098.0,2026-02-11 17:38:17.992718 UTC,20/03/2025
ATIVO,10/03/2024,Diego Pereira Santos,LPI-0354,BIZ 125,"R$ 294.000,00",Motos,Aparecida de Goiânia,GO,(39) 97697-1280,,17/03/2024,25/03/2024,ENTREGUE,SIM,INSTALADO,INSTALADORA NORTE,"R$ 100,00",78439472.0,Azimute,diego72,542974.0,2026-02-11 17:38:17.998897 UTC,07/04/2024
ATIVO,06/04/2024,Roberto Moraes Oliveira,ZWI-5092,FAZER 250,"R$ 338.000,00",Motos,Aparecida de Goiânia,GO,(96) 94745-2322,,16/04/2024,28/04/2024,ENTREGUE,SIM,INSTALADO,INSTALADORA NORTE,"R$ 90,00",65530896.0,Azimute,roberto93,419245.0,2026-02-11 17:38:18.007603 UTC,09/05/2024
ATIVO,21/09/2023,Rodrigo Lima Moraes,KNK-4654,CB 500,"R$ 504.000,00",Motos,Aparecida de Goiânia,GO,(40) 94716-6673,,25/09/2023,30/09/2023,ENTREGUE,SIM,INSTALADO,AUTO ELÉTRICA SUL,"R$ 80,00",29441219.0,Azimute,rodrigo86,874737.0,2026-02-11 17:38:18.009216 UTC,06/10/2023
ATIVO,28/04/2025,Beatriz Oliveira Souza,CVU-0193,RENEGADE,"R$ 39.000,00",Leves,Aparecida de Goiânia,GO,(84) 91025-4896,,01/05/2025,05/05/2025,ENTREGUE,SIM,INSTALADO,AUTO ELÉTRICA SUL,"R$ 120,00",92764251.0,Azimute,beatriz12,549229.0,2026-02-11 17:38:18.010165 UTC,10/05/2025
ATIVO,25/02/2025,Mariana Carvalho Souza,TDY-1013,ONIX,"R$ 268.000,00",Leves,Ponta Grossa,PR,(26) 96111-4807,,07/03/2025,22/03/2025,ENTREGUE,NÃO,PENDENTE,MECÂNICA DO BAIXINHO,"R$ 90,00",41921244.0,Azimute,mariana75,690388.0,2026-02-11 17:38:18.022187 UTC,
ATIVO,03/05/2024,Larissa Araujo Moraes,JRB-5036,FAZER 250,"R$ 78.000,00",Motos,Aparecida de Goiânia,GO,(52) 95278-4551,,04/05/2024,12/05/2024,ENTREGUE,SIM,INSTALADO,INSTALADORA NORTE,"R$ 100,00",58076780.0,Azimute,larissa2,855705.0,2026-02-11 17:38:18.024636 UTC,27/05/2024
ATIVO,25/11/2025,Diego Rodrigues Alves,MJV-1373,R450,"R$ 80.000,00",Pesados,Fortaleza,CE,(64) 92309-4547,,02/12/2025,13/12/2025,ENTREGUE,NÃO,PENDENTE,AUTO ELÉTRICA CENTRAL,"R$ 80,00",32133184.0,Azimute,diego12,512766.0,2026-02-11 17:38:18.039797 UTC,
ATIVO,8/4/2024,GUSTAVO COSTA CARDOSO,GCG-3023,L 1513,"R$ 369.071,00",MAQUINAS,Mogi Guaçu,PR,TEL: (77) 98024-7571,Gerado automaticamente para sincronização,11/04/2024,20/04/2024,ENTREGUE,SIM,INSTALADO,TECH SILVA,"R$ 150,00",20992836.0,Azimute,gustavo58,593648.0,2026-02-12 17:54:18.892799 UTC,20/04/2024
ATIVO,8/4/2024,LUCAS LIMA SILVA,VLE-9626,L 1513,"R$ 514.433,00",MAQUINAS,Apucarana,SP,(49) 93523-1547,Gerado automaticamente para sincronização,11/04/2024,20/04/2024,ENTREGUE,SIM,INSTALADO,CENTRO AUTOMOTIVO CENTRAL,"R$ 90,00",28593464.0,Azimute,lucas98,730508.0,2026-02-12 17:54:18.893075 UTC,23/04/2024
ATIVO,30/4/2024,MATEUS RIBEIRO BARBOSA,QYH-9101,17-250 E Constellation 2p (diesel),"R$ 348.785,00",CAMINHãO,Araruna,SC,(72) 96235-5865,Gerado automaticamente para sincronização,04/05/2024,12/05/2024,ENTREGUE,SIM,INSTALADO,CENTRO AUTOMOTIVO SUL,"R$ 100,00",73325989.0,Azimute,mateus24,263321.0,2026-02-12 17:54:18.894686 UTC,17/05/2024
